P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
247,13,197,58,145,993,333,17,24,23,23,23,14,21,19,21,13
230,21,204,70,163,978,299,11,25,27,16,46,12,27,27,19,18
275,28,212,67,132,979,357,13,16,32,28,25,18,23,31,35,18
237,21,209,69,156,1007,324,20,24,34,25,34,21,48,32,39,21
251,22,228,61,129,952,339,25,31,30,44,34,25,46,32,39,26
244,32,190,70,145,1001,306,25,41,41,32,35,35,50,45,59,27
234,21,172,55,149,1006,343,30,44,62,49,33,35,67,62,65,20
225,26,216,53,160,989,321,43,60,68,65,62,33,71,70,69,22
239,25,176,59,158,895,340,53,68,71,74,64,47,102,93,81,20
238,28,189,79,125,974,327,68,103,105,108,84,61,114,98,112,22
241,24,195,67,143,897,314,92,112,130,132,119,90,139,119,134,25
250,30,205,71,145,925,324,125,160,190,154,128,115,203,181,186,19
232,26,180,88,163,855,326,190,225,249,229,192,169,282,240,260,27
231,22,195,75,171,911,293,293,372,425,389,297,326,425,399,376,28
235,20,191,57,174,857,321,554,582,675,630,545,580,650,645,651,31
227,28,189,67,181,866,325,960,1038,1023,1014,948,976,1086,1098,1005,21
247,25,175,73,223,822,328,1533,1452,1711,1641,1441,1527,1629,1632,1600,30
220,25,187,79,261,839,332,2222,2154,2211,2143,2154,2273,2139,2234,2315,32
255,23,170,71,273,811,306,2757,2730,2819,2727,2583,2962,2829,2995,2875,33
225,23,167,84,320,854,305,3152,3131,3294,3263,3177,3302,3198,3363,3130,31
259,14,180,67,347,831,290,3656,3476,3435,3541,3416,3588,3447,3570,3604,30
239,26,160,53,345,805,331,3771,3679,3676,3765,3564,3807,3585,3728,3706,33
273,29,188,69,327,804,298,3706,3662,3519,3639,3542,3762,3614,3613,3625,37
249,28,189,80,311,756,309,3425,3399,3372,3337,3304,3463,3259,3411,3369,40
244,28,186,69,315,794,317,3046,2837,2823,2930,2854,3064,2704,2954,2933,39
233,16,177,82,298,775,329,2608,2417,2507,2459,2467,2559,2431,2494,2468,44
228,25,174,82,279,794,312,2203,2016,2076,2075,2072,2238,2206,2144,2090,32
217,19,193,70,250,795,326,1952,1874,1910,1883,1849,1885,1872,2011,1827,38
