P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
198,19,59,0,85,392,53,17,20,23,22,33,12,28,25,20,13
217,13,51,2,79,393,55,11,23,22,30,25,17,18,33,32,17
215,11,52,2,90,381,49,18,27,27,22,30,19,35,24,26,28
210,16,59,1,93,408,58,24,31,29,26,27,18,43,38,26,19
198,15,52,1,73,382,38,26,38,40,27,33,30,35,42,35,30
201,21,54,0,100,348,51,24,58,53,41,34,39,58,50,45,16
199,14,50,1,71,370,50,30,64,49,35,42,31,62,58,57,17
221,12,60,0,99,356,48,45,63,76,56,58,48,70,70,73,31
201,16,69,0,92,368,46,55,85,60,80,69,59,74,82,98,19
212,22,34,0,90,379,46,52,102,98,100,78,67,104,97,104,27
188,20,33,0,86,384,49,68,112,143,138,83,101,146,125,132,23
197,17,56,0,92,387,42,121,176,205,168,132,130,208,184,183,17
175,20,56,1,87,355,45,204,239,260,266,179,196,300,238,261,25
200,13,37,4,95,338,51,283,357,407,413,322,304,412,388,409,24
189,10,48,0,101,346,44,554,602,702,615,499,555,658,659,671,33
202,16,45,1,99,344,43,940,1029,1027,1054,962,999,1095,990,1132,36
182,25,33,0,157,316,41,1519,1553,1551,1605,1435,1606,1600,1633,1700,36
200,18,51,0,170,339,49,2165,2195,2227,2249,2074,2245,2218,2227,2314,21
185,26,28,0,184,311,54,2844,2665,2801,2780,2631,2762,2666,2866,2795,29
208,14,51,0,221,304,46,3282,3270,3129,3267,3136,3247,3254,3319,3252,35
197,15,35,0,243,338,46,3523,3480,3568,3596,3337,3630,3467,3576,3518,33
193,14,46,0,240,300,34,3766,3592,3651,3683,3652,3755,3604,3677,3559,31
226,11,62,2,236,277,51,3839,3532,3635,3564,3635,3837,3601,3695,3657,32
209,13,43,0,245,320,41,3386,3338,3306,3262,3318,3457,3212,3385,3326,33
179,19,43,2,232,302,39,2943,2947,2896,2828,2894,2897,2863,2964,3004,48
188,12,44,1,179,308,44,2530,2379,2363,2477,2418,2568,2373,2519,2446,35
184,15,44,2,184,286,47,2237,2058,2140,2087,2055,2252,2086,2147,2134,28
175,21,40,2,152,283,37,1954,1872,1857,1800,1823,1873,1822,1915,1910,39
194,19,38,2,146,291,42,1643,1650,1705,1684,1627,1772,1653,1770,1681,41
188,13,50,0,138,268,48,1560,1479,1542,1539,1451,1558,1521,1559,1568,39
196,25,43,0,128,287,41,1395,1420,1421,1417,1425,1518,1339,1461,1453,44
217,14,32,3,133,277,45,1346,1294,1351,1310,1314,1402,1325,1430,1349,39
187,17,32,3,138,283,43,1298,1224,1241,1202,1253,1320,1217,1261,1239,45
186,27,41,1,129,253,52,1205,1186,1166,1169,1149,1225,1167,1173,1203,37
