,cross section [fb],unselected,cc,bb_tight,bb,e2e2,aZ,aa,tau,light_quark,light_quark2,isolep1,isolep2,isolep_many,isophoton1,isophoton_many,rest
P4f_sw_l,63.521046,139992,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
P4f_sw_sl,190.53144,199004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_sze_l,5619.0014,4991495,0,0,1,0,4,6,32,2,1,41,49,2,9,10,8
P4f_szeorsw_l,47.910667,49931,0,0,0,0,0,0,53,5,4,0,0,0,6,0,1
Pe1e1h_aa,0.00141531195,94666,0,0,0,0,5,3108,288,0,0,117,0,0,111,1455,0
Pe1e1h_az,0.000953932723,94649,11,26,10,0,1891,0,823,71,39,121,115,0,1354,597,43
Pe1e1h_bb,0.362868526,94215,20,2339,698,0,161,0,0,51,11,14,0,0,1213,137,641
Pe1e1h_cc,0.0180187292,94308,1416,16,187,0,179,0,0,423,447,12,0,0,1207,125,1180
Pe1e1h_e2e2,0.000135919826,97920,0,0,0,0,93,0,1,0,0,85,1732,1,0,0,1
Pe1e1h_e3e3,0.0390925371,95666,95,6,162,0,28,6,2142,161,157,786,39,0,617,101,865
Pe1e1h_gg,0.0510634575,94289,174,97,112,0,168,0,0,1833,780,6,0,0,1217,134,690
Pe1e1h_ww,0.133425884,96065,199,4,92,0,118,0,35,751,636,1227,133,1,759,100,625
Pe1e1h_zz,0.0163353185,95507,168,477,309,0,112,0,204,919,483,154,429,10,1064,126,785
