,cross section [fb],unselected,cc,bb_tight,bb,e2e2,aZ,aa,tau,light_quark,light_quark2,isolep1,isolep2,isolep_many,isophoton1,isophoton_many,rest
P2f_z_l,16363.043,9989972,0,0,0,0,0,0,20,2,2,0,0,0,4,0,0
P4f_sw_l,29.488335,149808,0,0,0,0,0,0,16,3,1,0,0,0,3,0,2
P4f_sw_sl,86.696149,497506,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
P4f_sze_l,5675.3899,4991013,4,0,14,0,5,9,271,29,14,92,67,1,80,16,45
P4f_szeorsw_l,29.219409,149053,0,0,2,0,0,0,581,77,22,3,0,0,67,16,12
P4f_sznu_l,40.682972,299700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_ww_l,14.754046,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_zz_l,61.417003,399599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P4f_zz_sl,466.81644,2393999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P4f_zzorww_l,55.422478,299700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pe1e1h_aa,0.0252852485,71302,0,0,0,0,13,17551,1515,2,2,674,8,0,546,8134,3
Pe1e1h_az,0.0170424803,71137,72,141,75,0,10597,3,4529,351,174,515,469,7,8067,3379,234
Pe1e1h_bb,6.48282583,70198,146,12660,4129,0,909,0,0,255,66,97,1,0,6938,657,3444
Pe1e1h_cc,0.321913516,70230,8052,96,910,0,1042,0,1,2435,2481,29,0,0,6784,752,6688
Pe1e1h_e2e2,0.00242827497,88838,0,0,0,0,580,2,7,0,0,444,9955,6,1,0,0
Pe1e1h_e3e3,0.698407525,71706,483,70,838,0,149,38,12168,1099,895,4054,163,1,3539,511,5117
Pe1e1h_gg,0.912273944,70393,971,488,686,0,1162,0,0,10384,4311,43,0,0,6608,657,3797
Pe1e1h_ww,2.38371946,74250,1113,31,507,0,623,0,241,4115,3227,6929,756,0,4482,499,3722
Pe1e1h_zz,0.291838551,71317,991,2530,1719,0,626,0,1165,5128,2517,885,1841,58,6063,644,4265
Pqqh_zz,5.75053713,496708,30,79,44,0,24,0,0,131,66,27,29,0,216,26,130
