P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
37,25,33,124,36,265,477,85,101,89,76,63,98,77,1,66,76,7
37,24,29,128,32,250,498,106,87,85,80,71,99,94,2,84,87,12
48,23,38,127,31,286,499,88,81,100,79,69,92,77,3,97,101,8
45,19,28,138,36,262,455,97,110,97,101,66,94,103,7,87,114,6
50,19,29,125,34,262,486,88,100,91,78,81,115,104,4,114,95,12
58,26,31,124,34,324,494,110,104,94,116,103,99,106,3,116,98,20
52,17,37,123,49,271,494,107,89,109,103,90,132,103,6,116,115,12
43,15,39,126,39,310,503,117,117,104,114,90,113,121,5,112,109,10
65,32,42,143,33,275,510,136,110,131,121,84,122,106,5,123,126,20
62,24,40,140,47,292,473,121,113,116,117,99,124,121,8,118,123,15
51,18,44,133,52,310,500,122,145,129,139,116,124,139,12,114,123,13
46,19,40,111,45,293,507,145,137,150,132,121,138,131,6,143,156,18
61,29,41,131,46,319,536,148,152,131,156,134,148,153,4,132,150,14
57,19,54,142,34,312,491,162,132,173,154,123,167,142,6,141,154,15
67,25,50,121,39,345,528,169,167,166,162,145,150,150,7,149,151,9
67,24,55,158,54,323,517,191,161,145,164,143,183,153,9,176,166,16
65,35,59,119,57,389,519,172,190,180,175,164,190,178,6,147,175,17
55,31,62,129,48,393,500,180,182,182,178,159,204,192,13,212,203,16
82,23,72,148,50,386,479,217,197,224,212,166,218,188,20,193,219,22
72,22,56,136,63,361,528,214,219,221,218,178,210,205,12,238,186,19
73,20,57,140,63,409,502,255,231,237,211,205,244,187,5,237,234,22
67,27,73,137,65,421,557,238,255,222,249,222,264,257,10,253,236,21
87,25,66,124,71,408,494,272,270,255,251,233,261,278,11,257,224,24
81,20,74,141,52,429,522,258,299,265,275,236,265,286,12,290,305,28
102,15,75,144,83,457,538,290,285,290,301,256,305,279,17,313,280,34
95,27,66,160,65,485,521,308,330,324,309,316,356,321,16,325,340,42
113,28,101,133,83,530,514,363,356,321,306,321,356,312,14,350,320,34
112,20,86,128,91,512,526,350,385,349,381,331,394,346,16,388,385,27
130,26,80,148,89,558,575,418,391,407,423,370,430,378,18,385,355,40
132,34,118,152,87,566,572,470,402,435,427,415,443,442,22,426,430,37
150,28,113,135,108,547,562,491,459,475,498,440,491,456,22,473,438,41
167,20,121,138,116,661,566,555,488,536,504,473,493,514,26,534,501,44
179,33,127,162,120,665,561,586,558,545,560,523,576,553,18,569,550,58
228,38,155,130,134,693,561,653,625,580,652,528,645,655,31,666,597,78
210,31,163,156,166,758,644,762,670,669,686,649,691,662,33,684,651,62
240,23,177,153,162,796,603,759,768,789,762,704,771,765,36,783,753,71
283,35,194,126,172,871,581,852,844,853,865,792,902,882,47,868,890,67
311,32,235,154,210,995,626,976,933,917,948,925,989,935,46,973,924,62
365,44,270,150,230,1093,557,1092,1094,1073,1085,1008,1139,1045,44,1109,1046,88
398,47,280,149,255,1250,638,1299,1231,1225,1252,1116,1277,1183,63,1232,1264,114
416,39,339,149,329,1322,606,1420,1360,1390,1367,1332,1472,1386,63,1387,1390,114
473,45,359,161,360,1483,591,1701,1518,1646,1536,1637,1699,1515,80,1676,1685,143
562,57,452,134,438,1703,619,1837,1890,1845,1903,1863,1945,1786,95,1837,1923,148
659,57,528,150,468,1843,702,2185,2035,2101,2138,2112,2295,2037,89,2077,2220,163
800,61,600,153,518,2118,702,2537,2361,2476,2382,2502,2485,2417,110,2514,2470,202
909,71,689,142,637,2395,699,2954,2833,2803,2761,2893,3052,2740,140,2925,2912,206
1023,73,736,153,758,2673,724,3233,3250,3253,3256,3353,3444,3055,124,3246,3233,258
1138,97,858,158,809,2988,752,3711,3675,3521,3528,3647,3793,3548,174,3694,3685,286
1245,102,893,148,842,3218,779,3987,3943,3799,3850,3986,4164,3874,165,3959,4024,314
1267,88,941,151,892,3377,759,4211,4071,4078,4074,4190,4220,4011,188,4202,4170,304
1328,106,1054,156,859,3440,814,4131,4119,4034,4031,4147,4284,3943,214,4097,4091,309
1270,97,983,129,825,3288,746,3950,3925,3979,3827,3953,3993,3864,184,4006,4157,296
1188,95,846,147,760,3039,717,3568,3682,3626,3560,3615,3729,3606,188,3593,3838,292
1080,79,773,164,742,2746,751,3394,3167,3289,3315,3267,3399,3206,158,3454,3325,264
988,80,677,149,646,2396,715,2882,2830,2795,2848,2835,2993,2909,143,2919,3039,183
836,68,537,163,502,2083,765,2538,2502,2571,2581,2314,2466,2520,98,2612,2521,184
699,50,475,130,456,1820,658,2046,2148,2166,2213,2120,2200,2215,98,2212,2265,154
601,55,432,166,391,1546,706,1788,1860,1844,1872,1781,1889,1879,84,1928,2012,154
561,58,383,144,336,1421,644,1666,1639,1604,1691,1581,1590,1640,79,1658,1655,113
483,43,332,165,296,1220,623,1374,1408,1497,1378,1402,1471,1396,65,1489,1475,109
435,49,303,146,258,1011,686,1177,1204,1229,1202,1057,1156,1251,55,1202,1229,73
345,47,244,160,257,889,681,1089,1076,1137,1056,946,1051,1129,47,1123,1110,64
299,35,211,144,192,842,714,877,865,925,955,857,913,920,39,1016,930,46
279,35,195,163,168,716,645,830,839,832,832,749,823,839,45,917,841,67
259,36,155,181,141,650,628,702,710,800,709,658,737,779,34,737,782,56
234,41,151,147,169,596,648,636,655,632,635,577,653,663,24,741,639,58
232,34,149,163,122,566,666,555,573,671,568,514,525,594,23,591,554,36
196,28,122,150,106,455,639,560,504,561,503,462,547,521,21,539,516,31
176,32,111,162,97,442,653,471,483,497,506,413,477,492,28,479,508,29
183,27,101,156,103,414,586,405,441,457,436,407,416,484,17,458,476,28
145,25,100,162,78,376,646,374,385,382,420,384,419,405,18,402,397,34
135,23,73,162,74,338,663,370,353,342,367,337,357,372,11,373,355,23
122,30,77,146,82,314,608,338,307,333,344,263,350,358,14,368,341,22
145,31,82,154,65,320,708,294,319,329,316,290,287,345,8,323,289,18
104,25,85,165,63,268,648,277,267,278,279,229,249,290,10,282,313,24
109,21,64,153,54,282,683,240,253,237,246,246,251,259,13,279,264,10
125,29,71,154,53,234,666,227,216,237,260,191,208,251,9,257,241,19
96,30,65,147,52,238,662,226,234,228,188,200,213,211,9,217,222,13
100,25,51,136,53,227,680,188,216,227,210,171,206,225,12,205,233,9
86,19,37,160,53,243,663,187,187,174,201,180,218,202,11,192,206,10
83,27,51,160,50,216,711,175,186,199,185,149,182,171,6,204,186,14
83,21,35,170,40,200,715,180,168,173,173,158,168,185,9,180,167,14
83,23,46,127,38,165,656,169,156,177,153,112,173,159,8,169,150,11
64,27,37,174,37,164,663,143,155,161,169,128,152,153,3,160,176,5
74,26,46,169,27,155,671,143,140,143,121,113,149,159,11,152,143,7
65,27,47,150,34,143,688,121,142,136,139,94,131,153,6,155,135,4
69,22,41,162,43,150,671,113,129,121,154,102,130,120,4,116,134,5
68,24,32,147,33,130,724,119,118,137,118,103,124,117,4,124,123,7
68,12,24,144,34,121,718,103,106,135,112,93,99,100,6,120,133,9
57,20,42,152,32,102,684,105,99,119,121,96,115,117,6,97,116,4
50,33,33,150,26,133,671,106,104,115,125,80,106,110,3,105,97,0
65,24,28,156,28,106,665,94,104,111,112,85,81,132,3,101,96,2
67,35,41,158,33,93,686,113,73,72,96,66,103,101,2,90,91,0
57,29,20,170,25,98,698,87,76,96,102,63,74,97,2,90,82,2
62,23,26,136,28,87,699,75,81,100,97,62,83,95,1,81,82,2
47,26,29,145,25,97,725,82,80,88,94,66,88,100,3,64,102,5
53,14,21,137,29,87,743,77,80,69,86,47,63,99,5,69,96,4
