P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
48,26,13,5,26,104,22,89,87,84,85,81,61,85,4,86,86,6
35,20,9,2,30,128,29,87,85,77,102,72,103,86,2,104,90,9
33,27,9,2,39,108,37,95,90,87,102,76,78,88,4,91,92,12
38,25,6,2,23,139,26,115,105,105,107,77,100,109,5,91,118,13
46,14,17,4,26,127,35,95,99,103,100,93,123,93,6,77,93,16
42,25,12,1,27,122,34,105,107,118,91,93,98,108,5,95,99,11
48,23,15,1,27,141,17,130,105,90,121,88,125,111,6,100,118,12
50,23,11,1,26,127,28,120,117,123,112,92,111,113,7,119,111,20
44,17,17,0,35,127,32,129,119,113,116,111,124,130,4,161,127,14
51,19,15,0,27,141,25,131,153,147,123,106,113,140,1,136,113,12
49,21,14,2,34,141,33,127,139,123,144,129,124,135,4,146,141,16
52,15,14,0,29,142,35,145,104,132,128,116,131,132,8,123,127,15
59,19,15,2,26,141,29,148,147,138,146,137,163,138,6,162,148,25
63,21,9,1,41,161,31,156,153,173,152,113,182,153,6,150,150,21
63,17,8,2,40,160,24,161,148,161,177,145,180,167,12,174,159,14
51,27,17,1,39,145,37,177,191,168,155,166,161,165,12,198,190,16
56,20,20,4,41,147,36,179,168,189,185,172,195,189,5,161,180,13
76,26,17,6,49,150,36,179,193,191,191,165,197,172,12,186,210,27
47,32,16,3,36,148,33,198,181,211,208,176,207,202,11,220,211,23
56,23,16,2,36,156,46,237,190,201,234,169,249,211,9,222,210,36
82,19,18,2,40,158,30,212,217,199,209,203,264,233,12,233,236,26
78,30,12,0,45,154,41,240,247,234,286,200,284,226,12,274,251,18
99,21,15,3,56,181,31,297,238,229,254,211,238,266,12,287,266,20
92,23,20,1,42,179,36,272,287,278,314,239,271,273,8,316,270,29
103,31,20,1,67,180,33,332,294,277,278,283,293,287,19,307,279,28
97,17,31,2,62,196,40,327,303,309,310,299,288,319,12,309,308,44
114,23,18,0,59,234,27,331,327,368,323,333,343,320,19,394,354,38
110,30,26,3,58,202,43,356,338,366,386,346,365,359,20,365,348,24
94,29,14,5,52,206,31,418,356,418,386,385,423,368,18,391,391,48
120,22,34,2,79,256,40,493,437,440,418,364,424,438,20,484,421,39
146,22,24,4,82,262,41,508,485,472,455,440,508,495,21,436,483,51
135,33,28,1,88,263,51,515,513,523,512,516,495,528,25,519,507,48
160,20,24,3,83,268,31,557,575,605,578,521,585,515,31,523,583,48
195,24,33,0,73,299,50,642,606,627,593,570,665,614,30,618,628,56
198,29,34,2,121,308,62,759,705,661,685,632,739,665,33,663,623,52
201,26,39,4,121,349,54,773,702,725,733,725,771,750,36,774,759,82
224,26,40,1,133,365,58,866,812,835,846,814,849,836,31,877,840,62
267,34,40,3,130,388,52,993,977,1000,941,906,1054,892,41,928,1007,99
283,21,57,2,160,412,53,1045,1105,1101,1036,1015,1125,1007,56,1096,1132,96
326,34,52,2,186,488,55,1299,1209,1185,1194,1155,1236,1169,58,1208,1239,94
364,30,67,1,224,515,80,1389,1359,1355,1408,1376,1366,1397,69,1397,1387,118
407,38,89,0,228,579,92,1573,1583,1597,1615,1559,1689,1548,59,1606,1534,137
500,36,84,2,277,686,89,1811,1868,1851,1792,1855,1965,1823,80,1872,1900,173
575,48,121,4,306,706,97,2291,2071,2168,2088,2029,2241,2062,102,2146,2128,179
669,48,120,2,333,833,118,2612,2459,2497,2464,2493,2545,2366,128,2377,2497,176
748,45,148,0,415,997,132,2988,2858,2869,2848,2928,2919,2785,149,2874,2817,238
856,46,142,3,452,1046,123,3264,3217,3165,3178,3432,3379,3056,157,3234,3266,255
917,56,174,3,500,1144,150,3656,3600,3645,3586,3657,3815,3427,168,3664,3688,273
1050,56,204,2,602,1229,158,4031,3904,3731,3928,3948,4124,3775,190,3976,3998,292
1097,54,186,2,563,1292,186,4176,4066,4123,4025,4003,4156,3918,218,4232,4156,320
1139,70,177,2,552,1208,151,4203,4073,3993,4105,4112,4240,4075,178,4036,4165,333
1017,55,174,1,533,1214,160,4007,4049,3778,3918,3911,4106,3775,193,3974,3876,311
1009,59,163,2,512,1149,160,3724,3617,3640,3636,3572,3696,3574,151,3816,3682,258
822,55,130,3,433,995,133,3259,3352,3232,3245,3241,3406,3291,147,3331,3374,251
771,61,133,5,394,850,128,2897,2908,2869,2936,2948,2911,2919,122,3063,2950,217
653,58,111,3,324,800,112,2494,2484,2466,2493,2491,2517,2534,108,2607,2635,216
577,53,88,4,308,685,90,2144,2112,2255,2230,2042,2089,2208,104,2245,2241,173
473,43,79,3,258,569,85,1802,1970,1893,1921,1767,1886,1930,75,2009,1961,126
429,42,78,3,201,489,70,1519,1570,1623,1563,1540,1682,1665,75,1634,1692,106
387,37,70,1,179,426,68,1450,1419,1482,1408,1346,1372,1468,70,1400,1490,93
368,41,50,3,168,373,63,1201,1207,1197,1181,1132,1249,1257,53,1305,1237,98
311,28,57,2,150,333,65,1005,1031,1054,1092,984,1002,1166,38,1063,1079,83
250,34,38,2,130,277,59,875,884,891,958,870,924,953,46,928,984,65
232,39,30,2,110,276,50,828,767,841,845,777,812,841,35,879,883,66
220,40,24,3,124,227,57,724,733,756,731,675,732,734,38,783,775,46
196,34,30,1,98,208,56,597,636,675,662,576,649,669,28,725,684,28
208,33,29,5,82,197,41,566,594,598,609,462,547,568,25,616,649,35
165,23,16,5,68,180,38,540,501,504,520,471,573,586,20,500,537,42
144,20,22,3,74,161,35,456,479,552,504,434,488,492,22,525,491,35
116,27,23,4,69,156,42,441,434,415,467,431,398,458,20,443,437,24
126,26,24,1,59,146,38,376,398,407,393,388,386,434,20,437,432,28
108,27,19,2,51,119,37,346,355,381,378,310,344,380,18,376,376,17
123,23,18,2,43,115,31,342,346,328,345,292,323,393,20,350,354,24
121,28,13,3,35,95,24,297,327,304,292,243,315,316,16,334,327,23
106,19,14,1,43,104,39,272,254,281,295,259,281,294,9,315,266,15
93,30,23,2,40,89,35,240,281,264,279,209,252,250,14,274,256,12
86,17,8,2,33,91,33,203,244,239,241,231,258,245,3,221,254,12
77,26,13,2,26,80,39,206,207,233,216,205,222,224,6,241,240,15
72,24,14,3,36,75,33,186,205,224,201,179,209,203,15,226,189,12
67,24,9,5,34,73,34,193,204,200,204,178,214,190,8,215,195,9
73,19,12,0,34,64,29,176,171,188,213,153,187,193,10,179,155,9
53,28,10,3,28,67,32,164,171,169,174,123,173,192,8,194,180,11
58,26,4,0,28,57,28,161,168,165,162,129,179,162,7,155,180,12
55,27,11,2,28,60,31,148,159,155,175,121,153,167,9,145,178,8
56,26,4,2,21,45,51,144,125,155,133,120,139,145,4,141,142,7
48,27,5,2,25,54,29,129,116,141,151,118,113,122,3,139,122,6
45,26,7,1,32,63,37,123,129,133,119,98,126,147,5,136,126,5
47,24,9,4,17,50,39,125,119,143,123,102,114,126,6,110,124,9
46,16,7,3,20,43,29,109,119,110,91,82,120,115,3,127,113,5
49,22,11,4,16,41,41,105,106,119,116,85,98,119,3,100,117,5
48,19,12,1,21,34,31,77,109,107,91,82,105,99,6,114,105,8
37,25,5,3,14,35,24,88,96,100,90,76,105,82,5,103,94,3
53,23,8,2,28,39,33,98,95,83,127,80,102,87,10,99,103,3
44,16,3,2,15,41,37,84,87,79,91,92,94,91,0,77,98,5
45,32,8,1,27,27,25,83,85,87,80,48,79,78,5,86,84,0
34,14,2,5,14,34,31,67,83,65,86,51,75,80,6,81,98,4
32,27,3,3,16,29,30,81,72,86,88,63,77,79,2,70,73,2
34,16,5,2,20,31,31,71,76,66,64,59,55,73,5,56,64,3
36,29,2,1,17,35,30,81,69,64,77,42,75,79,2,59,60,2
37,17,3,2,15,32,24,60,67,50,71,55,52,68,7,81,73,5
