P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
23,59,0,0,149,2,0,21,38,11,9,1572,62,4,131,67,0
36,2,0,0,36,27,0,34,56,25,14,1080,83,9,168,84,1
25,4,1,0,24,65,0,65,102,61,52,827,156,18,173,103,1
14,10,0,0,29,78,1,101,157,100,118,719,190,66,208,167,6
19,1,3,0,29,66,4,224,229,222,209,643,244,185,274,251,4
7,3,17,0,39,71,18,325,357,316,336,638,347,321,359,372,5
13,1,20,0,31,69,21,437,390,411,400,604,364,408,381,410,10
10,1,13,0,34,87,9,492,422,415,455,503,391,481,411,426,9
11,2,18,0,31,102,13,496,446,455,459,526,435,487,449,471,11
8,5,11,0,31,109,10,483,489,442,430,448,429,442,457,439,7
9,2,14,0,32,94,15,509,457,476,478,462,436,460,448,409,6
11,5,13,1,36,80,14,476,500,474,463,402,429,496,500,472,15
16,1,9,1,41,91,15,467,471,503,449,399,472,463,447,505,7
7,0,11,1,32,94,19,493,492,500,523,406,456,490,483,457,14
10,2,13,0,34,73,16,497,498,491,506,352,510,503,455,478,8
9,0,12,0,20,68,17,473,493,480,511,362,527,481,437,471,8
7,2,15,3,32,83,10,492,502,507,486,366,502,472,501,481,5
3,1,9,0,23,78,18,530,509,519,499,366,540,485,526,456,9
10,1,11,0,32,85,18,501,495,473,491,355,549,553,484,505,11
5,2,14,0,29,76,11,522,488,502,486,336,487,517,493,496,7
10,0,9,0,26,90,6,469,471,503,514,338,551,501,508,484,6
5,3,7,1,41,74,14,495,526,526,473,351,488,503,489,495,11
7,2,15,0,24,60,11,495,451,500,510,318,524,516,481,492,11
8,0,11,0,30,71,6,552,488,521,471,305,474,527,476,497,16
13,0,8,0,35,64,9,500,505,484,498,308,514,512,519,481,9
13,0,8,0,25,73,5,534,496,471,510,338,522,534,509,526,6
9,0,8,0,26,67,13,510,483,525,501,353,516,524,492,508,8
8,1,12,1,39,62,7,552,521,518,538,351,535,461,504,514,7
4,1,11,2,35,65,13,480,478,508,484,345,547,496,502,548,10
7,1,15,0,39,67,8,523,489,483,530,333,530,532,485,506,9
9,0,7,0,43,71,15,524,526,523,495,327,514,498,485,505,12
4,0,8,0,30,57,9,558,542,527,510,342,535,487,480,519,9
9,0,11,0,23,51,8,537,506,497,519,335,515,481,518,529,15
8,1,10,0,31,73,6,501,484,500,525,329,505,500,491,507,6
4,1,13,0,30,53,10,535,531,522,546,325,540,527,517,506,11
4,0,12,0,29,66,11,518,518,499,505,356,517,527,483,541,10
12,1,10,0,42,63,12,532,510,518,530,350,492,490,514,496,3
5,0,10,0,25,64,12,508,484,517,528,339,551,485,513,545,14
10,0,7,0,29,60,8,547,529,523,510,372,524,538,543,486,14
4,1,7,0,27,46,9,528,472,488,522,367,555,508,539,508,11
8,0,6,1,29,70,9,531,495,529,536,343,545,475,523,513,12
7,0,9,0,28,55,10,483,513,512,519,370,534,503,505,500,11
8,0,13,0,31,57,6,533,471,485,532,381,519,528,547,582,16
