name,eLpL,eLpR,eRpL,eRpR
P2f_z_l,,474.0,341.0,
P4f_sze_l,33.0,79.0,40.0,34.0
P4f_sznu_l,,4107.0,942.0,
P4f_ww_l,,1758.0,25.0,
P4f_zz_l,,3905.0,2686.0,
P4f_zz_sl,,16294.0,6006.0,
P4f_zzorww_l,,7298.0,1003.0,
Pe2e2h_aa,,44041.0,44037.0,
Pe2e2h_az,,42306.0,42358.0,
Pe2e2h_bb,,44534.0,44063.0,
Pe2e2h_cc,,44343.0,44208.0,
Pe2e2h_e2e2,,16936.0,16732.0,
Pe2e2h_e3e3,,44073.0,44065.0,
Pe2e2h_gg,,43941.0,43900.0,
Pe2e2h_inv,,2082.0,2107.0,
Pe2e2h_ww,,40125.0,39998.0,
Pe2e2h_zz,,43164.0,43386.0,
Pqqh_zz,,902.0,910.0,
