,cross section [fb],unselected,e2e2_tight_2,e2e2_tight_1,e2e2_loose,inv_tight,aZ_tight_against_Z,aZ_tight_against_nothing,aZ_tight_between,bb_tight,bb,cc_tight,isolep1,isolep2,isolep_many,aa_tight,aa,isophoton1,isophoton_many,tau,light_quark_few_hadrons,light_quark_many_hadrons,light_quark_intermediate_hadrons,few_hadrons,many_hadrons,intermediate_hadrons
P2f_z_l,16363.043,9989972,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,4,0,0
P4f_sw_l,29.488335,149808,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,2,0,1
P4f_sw_sl,86.696149,497506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
P4f_sze_l,5675.3899,4991013,0,0,0,57,8,42,22,0,3,0,83,61,1,2,5,137,31,40,57,0,1,95,0,2
P4f_szeorsw_l,29.219409,149053,0,0,0,241,0,95,5,0,0,0,3,0,0,0,0,203,28,0,157,0,3,41,0,4
P4f_sznu_l,40.682972,299700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_ww_l,14.754046,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_zz_l,61.417003,399599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_zz_sl,466.81644,2393999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P4f_zzorww_l,55.422478,299700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pe1e1h_aa,0.0252852485,71302,0,0,0,3,17,26,263,0,0,0,598,7,0,12023,5327,587,9575,0,10,0,0,12,0,0
Pe1e1h_az,0.0170424803,71137,0,0,0,52,13942,4214,1739,123,61,17,366,293,7,0,1,5026,1839,9,206,2,185,206,11,314
Pe1e1h_bb,6.48282583,70198,0,0,0,0,1057,286,943,10993,4604,18,92,1,0,0,0,5770,453,0,13,2,43,905,285,3837
Pe1e1h_cc,0.321913516,70230,0,0,0,0,1269,194,835,35,797,3416,28,0,0,0,0,5752,530,0,562,71,1718,2731,680,10652
Pe1e1h_e2e2,0.00242827497,88838,0,0,0,0,835,47,271,0,0,0,425,9402,6,1,1,2,1,0,2,0,0,2,0,0
Pe1e1h_e3e3,0.698407525,71706,0,0,0,8,166,1474,1387,35,518,101,3598,141,1,5,22,5314,614,5315,1483,0,10,8728,0,205
Pe1e1h_gg,0.912273944,70393,0,0,0,0,1428,160,725,363,692,89,42,0,0,0,0,5638,477,0,154,2385,7665,82,3096,6111
Pe1e1h_ww,2.38371946,74250,0,0,0,2,769,603,868,6,295,185,6339,694,0,0,0,3739,359,43,608,352,3100,1504,1045,5734
Pe1e1h_zz,0.291838551,71317,0,0,2,509,758,847,755,2042,1478,235,834,1725,48,0,0,5051,443,43,2060,274,2872,2073,892,5491
Pqqh_zz,5.75053713,496708,0,0,0,0,31,5,27,65,51,7,27,28,0,0,0,188,16,0,25,7,97,20,35,173
