,cross section [fb],unselected,((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 0) & (n_charged_hadrons <= 1)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 1) & (n_charged_hadrons <= 2)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 10) & (n_charged_hadrons <= 12)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 12) & (n_charged_hadrons <= 15)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 15) & (n_charged_hadrons <= 20)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 2) & (n_charged_hadrons <= 3)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 20) & (n_charged_hadrons <= 25)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 25) & (n_charged_hadrons <= 30)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 3) & (n_charged_hadrons <= 4)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 30) & (n_charged_hadrons <= 40)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 4) & (n_charged_hadrons <= 5)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 5) & (n_charged_hadrons <= 6)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 6) & (n_charged_hadrons <= 7)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 7) & (n_charged_hadrons <= 8)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 8) & (n_charged_hadrons <= 9)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & ((n_charged_hadrons > 9) & (n_charged_hadrons <= 10)),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & (n_charged_hadrons <= 0),((b_tag1 > 0.2) & (b_tag1 <= 0.4)) & (n_charged_hadrons > 40),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 0) & (n_charged_hadrons <= 1)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 1) & (n_charged_hadrons <= 2)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 10) & (n_charged_hadrons <= 12)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 12) & (n_charged_hadrons <= 15)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 15) & (n_charged_hadrons <= 20)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 2) & (n_charged_hadrons <= 3)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 20) & (n_charged_hadrons <= 25)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 25) & (n_charged_hadrons <= 30)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 3) & (n_charged_hadrons <= 4)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 30) & (n_charged_hadrons <= 40)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 4) & (n_charged_hadrons <= 5)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 5) & (n_charged_hadrons <= 6)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 6) & (n_charged_hadrons <= 7)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 7) & (n_charged_hadrons <= 8)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 8) & (n_charged_hadrons <= 9)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & ((n_charged_hadrons > 9) & (n_charged_hadrons <= 10)),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & (n_charged_hadrons <= 0),((b_tag1 > 0.4) & (b_tag1 <= 0.6)) & (n_charged_hadrons > 40),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 0) & (n_charged_hadrons <= 1)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 1) & (n_charged_hadrons <= 2)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 10) & (n_charged_hadrons <= 12)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 12) & (n_charged_hadrons <= 15)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 15) & (n_charged_hadrons <= 20)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 2) & (n_charged_hadrons <= 3)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 20) & (n_charged_hadrons <= 25)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 25) & (n_charged_hadrons <= 30)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 3) & (n_charged_hadrons <= 4)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 30) & (n_charged_hadrons <= 40)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 4) & (n_charged_hadrons <= 5)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 5) & (n_charged_hadrons <= 6)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 6) & (n_charged_hadrons <= 7)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 7) & (n_charged_hadrons <= 8)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 8) & (n_charged_hadrons <= 9)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & ((n_charged_hadrons > 9) & (n_charged_hadrons <= 10)),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & (n_charged_hadrons <= 0),((b_tag1 > 0.6) & (b_tag1 <= 0.8)) & (n_charged_hadrons > 40),(b_tag1 <= 0.2) & ((n_charged_hadrons > 0) & (n_charged_hadrons <= 1)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 1) & (n_charged_hadrons <= 2)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 10) & (n_charged_hadrons <= 12)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 12) & (n_charged_hadrons <= 15)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 15) & (n_charged_hadrons <= 20)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 2) & (n_charged_hadrons <= 3)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 20) & (n_charged_hadrons <= 25)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 25) & (n_charged_hadrons <= 30)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 3) & (n_charged_hadrons <= 4)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 30) & (n_charged_hadrons <= 40)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 4) & (n_charged_hadrons <= 5)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 5) & (n_charged_hadrons <= 6)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 6) & (n_charged_hadrons <= 7)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 7) & (n_charged_hadrons <= 8)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 8) & (n_charged_hadrons <= 9)),(b_tag1 <= 0.2) & ((n_charged_hadrons > 9) & (n_charged_hadrons <= 10)),(b_tag1 <= 0.2) & (n_charged_hadrons <= 0),(b_tag1 <= 0.2) & (n_charged_hadrons > 40),(b_tag1 > 0.8) & ((n_charged_hadrons > 0) & (n_charged_hadrons <= 1)),(b_tag1 > 0.8) & ((n_charged_hadrons > 1) & (n_charged_hadrons <= 2)),(b_tag1 > 0.8) & ((n_charged_hadrons > 10) & (n_charged_hadrons <= 12)),(b_tag1 > 0.8) & ((n_charged_hadrons > 12) & (n_charged_hadrons <= 15)),(b_tag1 > 0.8) & ((n_charged_hadrons > 15) & (n_charged_hadrons <= 20)),(b_tag1 > 0.8) & ((n_charged_hadrons > 2) & (n_charged_hadrons <= 3)),(b_tag1 > 0.8) & ((n_charged_hadrons > 20) & (n_charged_hadrons <= 25)),(b_tag1 > 0.8) & ((n_charged_hadrons > 25) & (n_charged_hadrons <= 30)),(b_tag1 > 0.8) & ((n_charged_hadrons > 3) & (n_charged_hadrons <= 4)),(b_tag1 > 0.8) & ((n_charged_hadrons > 30) & (n_charged_hadrons <= 40)),(b_tag1 > 0.8) & ((n_charged_hadrons > 4) & (n_charged_hadrons <= 5)),(b_tag1 > 0.8) & ((n_charged_hadrons > 5) & (n_charged_hadrons <= 6)),(b_tag1 > 0.8) & ((n_charged_hadrons > 6) & (n_charged_hadrons <= 7)),(b_tag1 > 0.8) & ((n_charged_hadrons > 7) & (n_charged_hadrons <= 8)),(b_tag1 > 0.8) & ((n_charged_hadrons > 8) & (n_charged_hadrons <= 9)),(b_tag1 > 0.8) & ((n_charged_hadrons > 9) & (n_charged_hadrons <= 10)),(b_tag1 > 0.8) & (n_charged_hadrons <= 0),(b_tag1 > 0.8) & (n_charged_hadrons > 40)
P2f_z_l,21214.001,9989052,0,2,4,8,0,2,0,0,4,0,4,2,8,12,0,4,0,0,0,0,2,2,4,0,0,0,6,0,2,2,4,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,70,116,44,30,12,124,2,0,110,0,78,78,52,42,18,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4f_sze_l,5774.7395,4991581,2,0,1,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,5,3,1,0,10,0,0,4,0,4,6,2,1,4,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P4f_sznu_l,195.12634,994893,4,3,20,25,13,3,7,0,11,0,14,37,32,23,22,15,1,0,0,0,10,14,11,0,1,0,1,0,1,3,5,9,5,6,0,0,0,0,2,1,4,0,1,1,1,0,0,0,0,1,4,2,0,0,424,510,154,106,54,515,10,5,447,0,362,265,227,160,131,111,304,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,1,1,0,0
P4f_ww_l,1563.418,4993242,1,0,8,9,9,3,1,0,3,0,2,13,7,12,7,5,0,0,0,0,3,3,0,1,1,0,0,0,0,0,7,1,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,175,222,49,44,21,215,2,0,192,0,183,117,105,60,65,52,144,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
P4f_zz_l,88.95738,495595,41,102,91,58,24,130,9,6,143,0,135,132,100,99,76,58,11,0,24,52,51,43,28,50,6,4,67,2,62,57,53,36,37,40,15,0,6,9,22,33,26,11,6,0,16,0,23,14,24,18,14,16,1,0,82,137,112,80,39,179,6,0,191,0,170,172,132,132,91,79,29,0,2,0,27,22,20,3,11,2,13,0,15,14,24,9,16,14,1,0
P4f_zz_sl,838.07949,4173056,0,0,36,115,393,0,494,438,0,355,0,2,1,4,7,8,0,64,0,0,14,37,160,0,255,225,0,222,0,0,2,0,1,4,0,42,0,0,3,29,105,0,161,136,0,130,0,0,0,0,3,1,0,28,0,0,313,933,2544,1,2696,1806,1,1174,0,10,19,38,50,84,0,138,0,0,32,139,566,0,800,725,0,604,0,0,2,1,6,4,0,133
P4f_zzorww_l,1637.0568,4987702,1,5,49,51,24,13,4,2,19,1,19,30,40,38,40,32,1,0,1,1,19,24,17,0,5,1,4,0,5,6,12,6,8,9,0,0,0,0,8,9,9,0,6,1,0,0,2,1,2,1,3,4,0,0,722,905,232,172,77,869,25,1,800,0,618,555,439,353,271,183,531,0,0,0,1,4,3,0,2,1,0,0,0,1,0,0,0,0,0,0
Pe2e2h_aa,0.0385233869,55792,99,115,323,298,153,164,41,9,235,2,332,332,317,298,261,246,22,0,29,35,112,144,87,49,21,6,59,0,69,74,87,83,90,90,12,0,35,45,50,56,45,45,14,3,33,1,35,42,35,27,37,36,33,0,4110,5469,1350,973,471,5107,85,14,4598,2,3812,3119,2402,1826,1419,1082,3132,1,13,9,28,21,28,11,8,1,11,1,15,13,18,7,8,7,4,0
Pe2e2h_az,0.0259651021,57527,45,84,194,406,938,109,1048,821,139,617,138,143,147,104,98,105,30,72,27,33,90,174,446,48,559,440,66,348,46,66,51,51,54,44,11,57,11,20,50,107,288,15,382,295,26,252,29,23,30,27,29,20,4,44,966,1252,1058,2232,5279,1145,4841,2796,1098,1555,927,728,586,544,463,445,727,156,2,5,112,371,1153,8,1681,1346,4,1057,7,8,10,24,35,38,2,144
Pe2e2h_bb,9.87692121,55216,0,0,16,83,354,0,474,454,0,470,0,0,2,5,0,2,0,93,0,0,23,86,302,0,541,507,0,530,1,1,0,3,3,12,0,122,0,0,20,104,412,0,614,617,0,696,0,0,2,1,5,2,0,176,0,0,23,96,297,0,495,443,1,459,0,0,1,3,4,5,0,91,0,0,264,1051,5004,0,8802,8761,0,9531,1,4,5,6,32,70,0,2352
Pe2e2h_cc,0.490451929,55407,0,0,130,435,1669,1,2450,2122,0,2258,1,1,5,7,16,29,0,468,0,0,51,214,729,0,1159,1182,0,1289,0,0,2,2,12,7,0,314,0,0,23,113,418,0,653,661,0,859,0,0,2,0,3,3,0,219,0,0,390,1441,5074,1,6910,5513,2,4469,0,4,11,22,47,93,0,664,0,0,13,58,272,0,463,510,0,672,0,0,1,1,3,6,0,196
Pe2e2h_e2e2,0.00369960279,82964,95,311,124,77,47,396,5,4,440,0,398,335,256,196,140,109,38,0,52,113,94,71,33,199,5,2,209,0,203,173,159,95,100,68,21,0,8,25,70,75,39,48,10,0,81,1,116,108,104,91,74,60,4,0,1858,1950,145,103,36,1600,5,1,1287,0,856,652,428,307,197,146,1471,0,1,6,55,41,39,11,4,2,13,0,28,48,44,46,41,33,0,0
Pe2e2h_e3e3,1.06406007,57825,628,1095,959,761,372,1414,84,20,1668,4,1694,1512,1364,1167,876,685,102,0,415,562,569,510,275,711,75,17,741,4,724,649,563,553,459,402,194,0,43,85,298,297,211,144,57,14,160,4,190,220,212,217,182,172,18,0,596,1208,1289,976,517,1708,90,22,1968,2,2030,1880,1623,1478,1124,851,69,0,7,16,285,290,239,70,68,20,132,12,165,200,211,190,200,184,0,1
Pe2e2h_gg,1.38989664,55559,0,0,0,5,60,0,303,762,0,2637,0,0,0,0,0,1,0,2264,0,0,0,2,21,0,131,315,0,1083,0,0,0,0,0,0,0,1084,0,0,0,1,20,0,76,158,0,609,0,0,0,0,0,0,0,620,0,0,9,61,582,0,2776,5775,0,14396,0,0,0,0,0,2,0,7723,0,0,0,2,19,0,130,363,0,1120,0,0,0,0,0,0,0,831
Pe2e2h_inv,0.0,2377,0,3,17,5,12,3,1,0,3,0,7,4,7,11,13,7,0,0,0,0,1,7,5,1,2,1,0,0,0,2,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,204,253,65,55,31,248,5,1,245,0,195,173,129,98,69,54,131,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Pe2e2h_ww,3.63172017,61619,62,44,243,475,1004,84,1236,1256,108,1954,97,97,71,73,88,90,30,715,28,22,124,233,522,41,612,638,45,1046,49,60,47,49,51,57,21,443,7,5,76,126,281,12,354,421,23,732,25,24,14,15,31,20,1,275,167,239,902,1919,3632,256,4107,4097,236,5643,207,227,222,265,266,357,81,1533,1,4,39,67,165,4,236,237,6,460,8,10,12,10,15,16,2,220
Pe2e2h_zz,0.444631161,58580,23,28,222,380,802,45,861,958,57,1418,55,60,62,76,85,74,8,501,11,15,102,180,386,27,487,539,21,919,20,28,33,26,27,29,5,366,1,4,62,116,284,5,363,407,8,797,17,11,10,20,28,20,0,340,295,355,1015,1869,3454,354,3526,3346,332,4122,336,310,331,364,400,467,171,1039,0,0,169,373,961,3,1389,1664,4,3387,7,15,21,28,36,51,0,1541
Pqqh_zz,8.98739203,496605,0,0,0,4,9,0,16,25,0,51,0,0,0,0,0,0,0,10,0,0,0,0,7,0,9,19,0,29,0,0,0,0,0,0,0,4,0,0,0,4,3,0,6,11,0,18,0,0,0,0,0,0,0,10,0,0,6,24,75,0,98,93,0,120,0,0,0,0,1,0,0,23,0,0,1,3,17,0,30,48,0,85,0,0,0,0,1,0,0,42
